method,region,roi,sensitivity,specificity,PPV,NPV,subject
SPM,ROI 4,40,61.188030370701206,95.65093397975188,93.09173272933182,72.01288244766506,C12
SPM,ROI 4,40,60.642398286937905,95.5280407865987,93.26015367727771,70.402576489533,C13
SPM,ROI 4,40,63.60902255639098,95.54396423248882,94.43720930232558,68.82447665056361,C14
SPM,ROI 4,40,57.9721243682034,95.5920861216177,92.5880626223092,70.5421363392378,C15
SPM,ROI 4,40,58.48702719599875,95.42848953854973,92.14479192317164,71.48684916800859,C16
SPM,ROI 4,40,56.52651396297459,95.70049722140976,92.4557351809084,70.25228126677402,C17
SPM,ROI 4,40,61.62503854455751,95.69606056357772,92.8671003717472,73.27965646806226,C18
SPM,ROI 4,40,59.8805883209553,95.3765629543472,92.82167042889392,70.42404723564144,C19
SPM,ROI 4,40,64.54741379310344,95.7175594385563,94.12689059123944,71.74449812130972,C20
SPM,ROI 4,40,58.72073294876146,95.41106335782614,91.2710970464135,73.88083735909822,C21
SPM,ROI 4,40,62.52863688430699,95.5219623502567,93.29203161717582,71.90552871712292,C22
SPM,ROI 4,40,63.773736293126504,95.58674576761685,93.98896334253055,70.91787439613526,C23
SPM,ROI 4,40,58.925699581859114,95.50784009040824,92.01406328478151,72.58185721953838,C24
SPM,ROI 4,40,58.645443196005,95.28234453180843,91.92759295499022,71.55126140633386,C25
SCC,ROI 4,80,83.55335071050197,95.57185164292764,96.93688420641888,77.60219855719684,C1
SCC,ROI 4,80,83.14304354917633,95.50143266475644,97.012084879627,76.33115767777396,C2
SCC,ROI 4,80,84.46906202171853,95.36328181424238,97.30501217362102,75.59830527882744,C3
SCC,ROI 4,80,84.74134183451673,95.40742873596314,97.34498543487308,75.88457574716593,C4
SCC,ROI 4,80,84.5108896271687,95.27570361861,97.2061820652174,75.97618229703423,C5
SCC,ROI 4,80,83.90663390663391,95.44493019320264,96.94360333081,77.49914118859499,C6
SCC,ROI 4,80,83.87967605090628,95.59648870341056,97.26321438154012,76.06778884690254,C7
SCC,ROI 4,80,85.54234338747099,95.4127141441314,97.32717373370733,77.16706744532235,C8
SCC,ROI 4,80,83.80044843049326,95.42093287827076,97.01492537313432,76.83499370204969,C9
SCC,ROI 4,80,84.49516441005804,95.39268500141765,97.11008358527477,77.05255925798694,C10
SCC,ROI 4,80,84.93008803728638,95.45260156806845,97.29638104924146,76.67468223978014,C11
SCC,ROI 4,80,84.47973127719673,95.53686011692572,97.24931892081904,76.7204855147143,C12
SCC,ROI 4,80,84.21852387843704,95.44064093226513,97.38119143239624,75.02576434215045,C13
SCC,ROI 4,80,85.3823325124708,95.64828614008944,97.88620240335892,73.49135463185618,C14
SCC,ROI 4,80,83.2548807778378,95.47570555717196,97.1981981981982,75.1517233482194,C15
SCC,ROI 4,80,83.31733077292367,95.27085124677558,96.92823233733594,76.12504294057025,C16
SCC,ROI 4,80,81.84299776656464,95.61275226674466,97.0570924072984,74.8654528798809,C17
SCC,ROI 4,80,85.12872365248502,95.62596383008552,97.22839122323887,78.10603458147257,C18
